ID;time;location;sensorType;sensorId;value
227;1527758877786                           ;914345              ;SampleMotion                            ;EUI64-0080E1030002278E-4-Motion         ;140.0
228;1527758896097                           ;914345              ;SampleMotion                            ;EUI64-0080E1030002278E-4-Motion         ;140.0
229;1527758907501                           ;914345              ;SampleMotion                            ;EUI64-0080E1030002278E-4-Motion         ;141.0
230;1527758938541                           ;914345              ;SampleMotion                            ;EUI64-0080E1030002278E-4-Motion         ;142.0
231;1527758939555                           ;914345              ;SampleMotion                            ;EUI64-0080E1030002278E-4-Motion         ;142.0
232;1527758954682                           ;914345              ;SampleMotion                            ;EUI64-0080E1030002278E-4-Motion         ;142.0
233;1527758969723                           ;914345              ;SampleMotion                            ;EUI64-0080E1030002278E-4-Motion         ;143.0
234;1527759000420                           ;914345              ;SampleMotion                            ;EUI64-0080E1030002278E-4-Motion         ;144.0
235;1527759001430                           ;914345              ;SampleMotion                            ;EUI64-0080E1030002278E-4-Motion         ;144.0
236;1527759014077                           ;914345              ;SampleMotion                            ;EUI64-0080E1030002278E-4-Motion         ;144.0
237;1527759031663                           ;914345              ;SampleMotion                            ;EUI64-0080E1030002278E-4-Motion         ;145.0
238;1527759062663                           ;914345              ;SampleMotion                            ;EUI64-0080E1030002278E-4-Motion         ;146.0
239;1527759063673                           ;914345              ;SampleMotion                            ;EUI64-0080E1030002278E-4-Motion         ;146.0
240;1527759073409                           ;914345              ;SampleMotion                            ;EUI64-0080E1030002278E-4-Motion         ;146.0
241;1527759136846                           ;914345              ;SampleMotion                            ;EUI64-0080E1030002278E-4-Motion         ;147.0
242;1527759137932                           ;914345              ;SampleMotion                            ;EUI64-0080E1030002278E-4-Motion         ;147.0
243;1527759170427                           ;914345              ;SampleMotion                            ;EUI64-0080E1030002278E-4-Motion         ;148.0
244;1527759179529                           ;914345              ;SampleMotion                            ;EUI64-0080E1030002278E-4-Motion         ;148.0
245;1527759204476                           ;914345              ;SampleMotion                            ;EUI64-0080E1030002278E-4-Motion         ;149.0
246;1527759205562                           ;914345              ;SampleMotion                            ;EUI64-0080E1030002278E-4-Motion         ;149.0
247;1527759239114                           ;914345              ;SampleMotion                            ;EUI64-0080E1030002278E-4-Motion         ;150.0
248;1527759273574                           ;914345              ;SampleMotion                            ;EUI64-0080E1030002278E-4-Motion         ;151.0
249;1527759274676                           ;914345              ;SampleMotion                            ;EUI64-0080E1030002278E-4-Motion         ;151.0
250;1527759303755                           ;914345              ;SampleMotion                            ;EUI64-0080E1030002278E-4-Motion         ;151.0
251;1527759308535                           ;914345              ;SampleMotion                            ;EUI64-0080E1030002278E-4-Motion         ;152.0
252;1527759342939                           ;914345              ;SampleMotion                            ;EUI64-0080E1030002278E-4-Motion         ;153.0
253;1527759344028                           ;914345              ;SampleMotion                            ;EUI64-0080E1030002278E-4-Motion         ;153.0
254;1527759368030                           ;914345              ;SampleMotion                            ;EUI64-0080E1030002278E-4-Motion         ;153.0
255;1527759376565                           ;914345              ;SampleMotion                            ;EUI64-0080E1030002278E-4-Motion         ;154.0
256;1527759410198                           ;914345              ;SampleMotion                            ;EUI64-0080E1030002278E-4-Motion         ;155.0
257;1527759411294                           ;914345              ;SampleMotion                            ;EUI64-0080E1030002278E-4-Motion         ;155.0
258;1527759433392                           ;914345              ;SampleMotion                            ;EUI64-0080E1030002278E-4-Motion         ;155.0
259;1527759450799                           ;914345              ;SampleMotion                            ;EUI64-0080E1030002278E-4-Motion         ;156.0
260;1527759484634                           ;914345              ;SampleMotion                            ;EUI64-0080E1030002278E-4-Motion         ;157.0
261;1527759485720                           ;914345              ;SampleMotion                            ;EUI64-0080E1030002278E-4-Motion         ;157.0
262;1527759498743                           ;914345              ;SampleMotion                            ;EUI64-0080E1030002278E-4-Motion         ;157.0
